queue,mode,producers,consumers,oversubscribe,capacity,qos,seconds,rate,trial,ops,elapsed_s,throughput_mops,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,fair_cov,calib_ns,unix_time
vyukov,latency,4,4,4,1024,none,2.00,1000000,1,2000000,2.0000,1.000,9967165.0,2360500,73991834,110876584,127187250,0.0000,123352459,1783189818
faa,latency,4,4,4,1024,none,2.00,1000000,1,2000000,2.0000,1.000,2907234.3,1280875,23179417,33528375,42648625,0.0000,124442167,1783189821
mutex,latency,4,4,4,1024,none,2.00,1000000,1,2000000,2.0000,1.000,3996329.6,1767334,23897000,38148042,48244542,0.0000,124602792,1783189823
moody,latency,4,4,4,1024,none,2.00,1000000,1,1984844,2.0000,0.992,12173711.2,2475000,97631583,133763875,147016166,0.0000,124392292,1783189826
ms,throughput,1,1,1,1024,none,2.00,1000000,2,30732505,2.7763,11.069,0.0,0,0,0,0,0.0000,120383041,1783189831
vyukov,throughput,1,1,1,1024,none,2.00,1000000,2,235628506,2.0051,117.516,0.0,0,0,0,0,0.0000,122554709,1783189834
faa,throughput,1,1,1,1024,none,2.00,1000000,2,241434285,2.0050,120.414,0.0,0,0,0,0,0.0000,124694417,1783189836
mutex,throughput,1,1,1,1024,none,2.00,1000000,2,61453723,2.0051,30.649,0.0,0,0,0,0,0.0000,102745084,1783189838
moody,throughput,1,1,1,1024,none,2.00,1000000,2,50858272,2.0051,25.365,0.0,0,0,0,0,0.0000,126690666,1783189841
spsc,throughput,1,1,1,1024,none,2.00,1000000,2,695411510,2.0051,346.829,0.0,0,0,0,0,0.0000,125570583,1783189843
ms,throughput,2,2,1,1024,none,2.00,1000000,2,42552517,2.5748,16.526,0.0,0,0,0,0,0.1552,118406208,1783189846
vyukov,throughput,2,2,1,1024,none,2.00,1000000,2,50527388,2.0160,25.063,0.0,0,0,0,0,0.0303,122938166,1783189849
faa,throughput,2,2,1,1024,none,2.00,1000000,2,53233551,2.0051,26.549,0.0,0,0,0,0,0.0005,114456959,1783189851
mutex,throughput,2,2,1,1024,none,2.00,1000000,2,44279192,2.0051,22.084,0.0,0,0,0,0,0.0009,123049250,1783189854
moody,throughput,2,2,1,1024,none,2.00,1000000,2,25579552,2.0058,12.753,0.0,0,0,0,0,0.0033,121366500,1783189856
ms,throughput,4,4,1,1024,none,2.00,1000000,2,18992554,2.3581,8.054,0.0,0,0,0,0,0.1457,121945167,1783189859
vyukov,throughput,4,4,1,1024,none,2.00,1000000,2,17290670,2.0166,8.574,0.0,0,0,0,0,0.0312,123132958,1783189861
faa,throughput,4,4,1,1024,none,2.00,1000000,2,29339849,2.0125,14.579,0.0,0,0,0,0,0.0046,122473833,1783189864
mutex,throughput,4,4,1,1024,none,2.00,1000000,2,38308871,2.0050,19.107,0.0,0,0,0,0,0.0037,123239750,1783189866
moody,throughput,4,4,1,1024,none,2.00,1000000,2,16434825,2.0051,8.196,0.0,0,0,0,0,0.1036,123824750,1783189869
ms,throughput,1,7,1,1024,none,2.00,1000000,2,46767022,8.0567,5.805,0.0,0,0,0,0,0.0000,124920542,1783189877
vyukov,throughput,1,7,1,1024,none,2.00,1000000,2,11957106,2.0052,5.963,0.0,0,0,0,0,0.0000,121775000,1783189880
faa,throughput,1,7,1,1024,none,2.00,1000000,2,42423200,2.0048,21.161,0.0,0,0,0,0,0.0000,124453500,1783189882
mutex,throughput,1,7,1,1024,none,2.00,1000000,2,25329556,2.0051,12.633,0.0,0,0,0,0,0.0000,120826416,1783189885
moody,throughput,1,7,1,1024,none,2.00,1000000,2,15707731,2.0052,7.834,0.0,0,0,0,0,0.0000,123260167,1783189887
ms,throughput,7,1,1,1024,none,2.00,1000000,2,17783987,2.5232,7.048,0.0,0,0,0,0,0.0716,123522416,1783189890
vyukov,throughput,7,1,1,1024,none,2.00,1000000,2,7297656,2.0051,3.639,0.0,0,0,0,0,0.0060,122698916,1783189892
faa,throughput,7,1,1,1024,none,2.00,1000000,2,37491431,2.0051,18.698,0.0,0,0,0,0,0.0025,124187916,1783189895
